model,language,chapter_id,wer,cer,reference_word_count,hypothesis_word_count
whisper_large_v3,en,LUK_01,0.10583941605839416,0.10972423802612481,1370,1491
whisper_large_v3,en,LUK_02,0.08042635658914729,0.06914285714285714,1032,1028
whisper_large_v3,en,LUK_03,0.1263803680981595,0.11044025157232705,815,883
whisper_large_v3,en,LUK_04,0.1005464480874317,0.09897458760588497,915,1006
whisper_large_v3,en,LUK_05,0.008898776418242492,0.006049742325789828,899,900
whisper_large_v3,en,LUK_06,0.48476702508960573,0.47845303867403316,1116,596
whisper_large_v3,en,LUK_07,0.12643678160919541,0.11061151079136691,1131,1198
whisper_large_v3,en,LUK_08,0.07372262773722628,0.07818747223456242,1370,1324
whisper_large_v3,en,LUK_09,0.01763409257898604,0.019276748356246265,1361,1385
whisper_large_v3,en,LUK_10,0.2375923970432946,0.23319733734163625,947,1016
whisper_large_v3,en,LUK_11,0.08930075821398484,0.08899813527716562,1187,1154
whisper_large_v3,en,LUK_12,0.040754716981132075,0.03284616543619105,1325,1371
whisper_large_v3,en,LUK_13,0.05875299760191847,0.05123247945867569,834,881
whisper_large_v3,en,LUK_14,0.025157232704402517,0.018660531697341512,795,813
whisper_large_v3,en,LUK_15,0.12926136363636365,0.12597290285384838,704,624
whisper_large_v3,en,LUK_16,0.016107382550335572,0.006675567423230975,745,750
whisper_large_v3,en,LUK_17,0.052486187845303865,0.039954661377160666,724,753
whisper_large_v3,en,LUK_18,0.03769140164899882,0.03178368121442125,849,866
whisper_large_v3,en,LUK_19,0.009009009009009009,0.004127115146512587,999,1002
whisper_large_v3,en,LUK_20,0.03745743473325766,0.03268412805014551,881,910
whisper_large_v3,en,LUK_21,0.0377113133940182,0.029193341869398207,769,796
whisper_large_v3,en,LUK_22,0.08708065667380442,0.08411078717201166,1401,1366
whisper_large_v3,en,LUK_23,0.03732057416267943,0.03614457831325301,1045,1080
whisper_large_v3,en,LUK_24,0.0259222333000997,0.02365930599369085,1003,1027
whisper_large_v3,en,MAT_01,0.10358565737051793,0.08222811671087533,502,542
whisper_large_v3,en,MAT_02,0.22407407407407406,0.21352443954428518,540,660
whisper_large_v3,en,MAT_03,0.10655737704918032,0.08600979858464888,366,400
whisper_large_v3,en,MAT_04,0.23842592592592593,0.22089420097388224,432,533
whisper_large_v3,en,MAT_05,0.06268364348677767,0.05240261024322721,1021,1083
whisper_large_v3,en,MAT_06,0.08791208791208792,0.07390237251158986,728,787
whisper_large_v3,en,MAT_07,0.02159468438538206,0.01134020618556701,602,612
whisper_large_v3,en,MAT_08,0.01680672268907563,0.007690116775847337,714,714
whisper_large_v3,en,MAT_09,0.008860759493670886,0.002730206006453214,790,794
whisper_large_v3,en,MAT_10,0.08847497089639116,0.07965009208103131,859,924
whisper_large_v3,en,MAT_11,0.06070287539936102,0.0594541910331384,626,662
whisper_large_v3,en,MAT_12,0.07580174927113703,0.07242718446601942,1029,1103
whisper_large_v3,en,MAT_13,0.15144230769230768,0.13924461014751174,1248,1373
whisper_large_v3,en,MAT_14,0.019801980198019802,0.018134715025906734,707,720
whisper_large_v3,en,MAT_15,0.022068965517241378,0.02106969205834684,725,740
whisper_large_v3,en,MAT_16,0.4813664596273292,0.48074534161490684,644,341
whisper_large_v3,en,MAT_17,0.013445378151260505,0.005770536320434488,595,599
whisper_large_v3,en,MAT_18,0.10024752475247525,0.10578386605783865,808,886
whisper_large_v3,en,MAT_19,0.043674698795180725,0.03519236504622726,664,686
whisper_large_v3,en,MAT_20,0.034722222222222224,0.02810438772583883,720,742
whisper_large_v3,en,MAT_21,0.11934552454282965,0.1007947276603993,1039,1152
whisper_large_v3,en,MAT_22,0.16096324461343473,0.1489785749875436,789,849
whisper_large_v3,en,MAT_23,0.003861003861003861,0.0026914607291411794,777,776
whisper_large_v3,en,MAT_24,0.01937984496124031,0.012014969470159544,1032,1045
whisper_large_v3,en,MAT_25,0.10051813471502591,0.10565318653398263,965,1061
whisper_large_v3,en,MAT_26,0.008238276299112801,0.006623376623376623,1578,1586
whisper_large_v3,en,MAT_27,0.018031555221637866,0.01309328968903437,1331,1352
